service_code,service_type,service_category,service_description_el,tariff_code,tariff_description_el,tariff_price_raw,tariff_price_parsed_eur,proposed_treatment,ruling,ruled_by,ruled_on
AED003,INVESTIGATION,1,Τεστ εγκυμοσύνης,SHSO-ER1,Τεστ εγκυμοσύνης,12,12.00,weight_only,,,
AED005,INVESTIGATION,2,Ακτινογραφία,SHSO-ER3,Ακτινογραφία,Χρέωση ανάλογα με το ανατομικό σημείο σύμφωνα με τον τιμοκατάλογο ΟΚΥΠΥ της Ακτινοδιαγνωστικής,,weight_only,,,
AED019,INVESTIGATION,3,Υπερηχογράφημα,SHSO-ER4,Υπερηχογράφημα,Χρέωση ανάλογα με το ανατομικό σημείο σύμφωνα με τον τιμοκατάλογο ΟΚΥΠΥ της Ακτινοδιαγνωστικής,,weight_only,,,
AED021,INVESTIGATION,3,Αξονική Τομογραφία (αποκλείει τομογραφία ουροποιογεννητικού συστήματος με σκιαγραφικό,SHSO-ER5,Αξονική Τομογραφία (αποκλείει τομογραφία ουροποιογεννητικού συστήματος με σκιαγραφικό,Χρέωση ανάλογα με το ανατομικό σημείο σύμφωνα με τον τιμοκατάλογο ΟΚΥΠΥ της Ακτινοδιαγνωστικής,,weight_only,,,
AED020,INVESTIGATION,3,Μαγνητική τομογραφία,SHSO-ER6,Μαγνητική τομογραφία,Χρέωση ανάλογα με το ανατομικό σημείο σύμφωνα με τον τιμοκατάλογο ΟΚΥΠΥ της Ακτινοδιαγνωστικής,,weight_only,,,
AED022,INVESTIGATION,3,Τομογραφία Ουροποιογεννητικού συστήματος με σκιαγραφικό,SHSO-ER7,Τομογραφία Ουροποιογεννητικού συστήματος με σκιαγραφικό,65,65.00,weight_only,,,
AET079,TREATMENT,4,Άλλα παρεντερικά φάρμακα - ενδοφλέβια έγχυση,SHSO-ER8,Άλλα παρεντερικά φάρμακα - ενδοφλέβια έγχυση,50,50.00,weight_only,,,
AET062,TREATMENT,3,Χορηγήθηκε φάρμακο - ενδομυϊκά,SHSO-ER9,Χορηγήθηκε φάρμακο - ενδομυϊκά,20,20.00,weight_only,,,
AET063,TREATMENT,3,Χορηγήθηκε φάρμακο - υποδόρια,SHSO-ER10,Χορηγήθηκε φάρμακο - υποδόρια,20,20.00,weight_only,,,
AED001,INVESTIGATION,1,Καρδιογράφημα,SHSO-ER11,Καρδιογράφημα,20,20.00,weight_only,,,
AET085,TREATMENT,5,Αναζωογόνηση/  Καρδιοπνευμονική αναζωογόνηση,SHSO-ER12,Αναζωογόνηση/  Καρδιοπνευμονική αναζωογόνηση,320,320.00,weight_only,,,
AET091,TREATMENT,5,Αναζωογόνηση/  Καρδιοπνευμονική αναζωογόνηση,SHSO-ER12,Αναζωογόνηση/  Καρδιοπνευμονική αναζωογόνηση,320,320.00,weight_only,,,
AET075,TREATMENT,4,Εξωτερική βηματοδότηση,SHSO-ER13,Εξωτερική βηματοδότηση,250€   / συν αναλώσιμο,250.00,weight_only,,,
AET074,TREATMENT,4,Απινίδωση,SHSO-ER14,Απινίδωση,340,340.00,weight_only,,,
AET022,TREATMENT,2,Αλλαγή μικρού τραύματος / έγκαυμα/οφθαλμός,SHSO-ER15,Αλλαγή μικρού τραύματος / έγκαυμα/οφθαλμός,120,120.00,weight_only,,,
AET002,TREATMENT,1,Αφαίρεση γύψου,SHSO-ER19,Αφαίρεση γύψου,25,25.00,weight_only,,,
AET001,TREATMENT,1,Επίδεση/υποστήριξη,SHSO-ER20,Επίδεση/υποστήριξη,10,10.00,weight_only,,,
AET026,TREATMENT,2,Εφαρμογή γύψου Paris,SHSO-ER21,Εφαρμογή γύψου Paris,46,46.00,weight_only,,,
AET014,TREATMENT,1,"ιμάντας/ κολλάρο ανάρτησης χειρός, ευρύς επίδεσμος ανάρτησης ώμου",SHSO-ER22,"Ιμάντας/ κολλάρο ανάρτησης χειρός, ευρύς επίδεσμος ανάρτησης ώμου",10,10.00,weight_only,,,
AET027,TREATMENT,2,Νάρθηκας,SHSO-ER23,Νάρθηκας,40,40.00,weight_only,,,
AET071,TREATMENT,4,Ορθοθέτηση εξάρθρωσης,SHSO-ER24,Ορθοθέτηση εξάρθρωσης,105,105.00,weight_only,,,
AET069,TREATMENT,4,Ορθοθέτηση κατάγματος άνω άκρου,SHSO-ER25,Ορθοθέτηση κατάγματος άνω άκρου,130,130.00,weight_only,,,
AET070,TREATMENT,4,Ορθοθέτηση κατάγματος κάτω άκρου,SHSO-ER26,Ορθοθέτηση κατάγματος κάτω άκρου,130,130.00,weight_only,,,
AET060,TREATMENT,3,Αναρρόφηση από άρθρωση,SHSO-ER27,Αναρρόφηση από άρθρωση,30,30.00,weight_only,,,
AET031,TREATMENT,2,Αναισθησία - τοπικό αναισθητικό,SHSO-ER28,Αναισθησία - τοπικό αναισθητικό,30,30.00,weight_only,,,
AET037,TREATMENT,2,Τέτανος - ανθρώπινη ανοσοσφαιρίνη,SHSO-ER30,Τέτανος - ανθρώπινη ανοσοσφαιρίνη,60,60.00,weight_only,,,
AET052,TREATMENT,3,Κεντρική γραμμή,SHSO-ER31,Κεντρική γραμμή,1000,1000.00,weight_only,,,
AET059,TREATMENT,3,Αρτηριακή γραμμή,SHSO-ER32,Αρτηριακή γραμμή,200,200.00,weight_only,,,
AET053,TREATMENT,3,Καθετήρας ουροδόχου κύστεως/ υπερηβικός,SHSO-ER33,Καθετήρας ουροδόχου κύστεως/ υπερηβικός,45,45.00,weight_only,,,
AET072,TREATMENT,4,Διασωλήνωση & ενδοτραχειακοί σωλήνες/ λαρυγγική μάσκα αεραγωγών/ταχεία εισαγωγή,SHSO-ER34,Διασωλήνωση & ενδοτραχειακοί σωλήνες/ λαρυγγική μάσκα αεραγωγών/ταχεία εισαγωγή,400,400.00,weight_only,,,
AET058,TREATMENT,3,Συνεχής θετική πίεση των αεραγωγών/ρινική διακοπτόμενη θετική πίεση παροχής αέρα/χειροκίνητη μάσκα παροχής θετικής πίεσης αερισμού,SHSO-ER35,Συνεχής θετική πίεση των αεραγωγών/ρινική διακοπτόμενη θετική πίεση παροχής αέρα/χειροκίνητη μάσκα παροχής θετικής πίεσης αερισμού,300,300.00,weight_only,,,
AET056,TREATMENT,3,Νεφελοποιητής/ αεροθάλαμος,SHSO-ER36,Νεφελοποιητής/ αεροθάλαμος,20 €,20.00,weight_only,,,
AET081,TREATMENT,4,Περικαρδιοκέντηση,SHSO-ER37,Περικαρδιοκέντηση,100,100.00,weight_only,,,
AET073,TREATMENT,4,Πνευμονική Παροχέτευση,SHSO-ER38,Πνευμονική Παροχέτευση,60,60.00,weight_only,,,
AET043,TREATMENT,2,Έγχυση υγρών,SHSO-ER39,Έγχυση υγρών,20€   / συν 5€  ανά ωρα,20.00,weight_only,,,
AET012,TREATMENT,1,Καθαρισμός πληγής,SHSO-ER40,Καθαρισμός πληγής,115,115.00,weight_only,,,
AET047,TREATMENT,3,Αλλαγή πληγής μεγάλου τραύματος/ εγκαύματος,SHSO-ER41,Αλλαγή πληγής μεγάλου τραύματος/ εγκαύματος,60,60.00,weight_only,,,
AET050,TREATMENT,3,Αφαίρεση ξένου σώματος,SHSO-ER42,Αφαίρεση ξένου σώματος,85,85.00,weight_only,,,
AET077,TREATMENT,4,Παρεντερική θρομβόλυση - με στρεπτοκινάση,SHSO-ER45,Παρεντερική θρομβόλυση - με στρεπτοκινάση,345,345.00,weight_only,,,
AET040,TREATMENT,2,Έλεγχος επίσταξης,SHSO-ER46,Έλεγχος επίσταξης,40,40.00,weight_only,,,
AET082,TREATMENT,4,Οσφυονωτιαία παρακέντηση,SHSO-ER48,Οσφυονωτιαία παρακέντηση,800,800.00,weight_only,,,
