Key,Date,Description,Amount
PA-0000,01/03/2026,Item A0,5241.77
PA-0001,02/03/2026,Item A1,4679.37
PA-0002,03/03/2026,Item A2,8235.46
PA-0003,04/03/2026,Item A3,6289.44
PA-0004,05/03/2026,Item A4,6778.73
PA-0005,06/03/2026,Item A5,6205.9
PA-0006,07/03/2026,Item A6,4691.05
PA-0007,08/03/2026,Item A7,1367.41
PA-0008,09/03/2026,Item A8,442.56
PA-0009,10/03/2026,Item A9,2037.84
PA-0010,11/03/2026,Item A10,2587.27
PA-0011,12/03/2026,Item A11,8974.3
PA-0012,13/03/2026,Item A12,6394.63
PA-0013,14/03/2026,Item A13,6043.44
PA-0014,15/03/2026,Item A14,3257.98
PA-0015,16/03/2026,Item A15,2307.96
PA-0016,17/03/2026,Item A16,942.15
PA-0017,18/03/2026,Item A17,8096.13
PA-0018,19/03/2026,Item A18,7649.42
PA-0019,20/03/2026,Item A19,7558.78
PA-0020,21/03/2026,Item A20,4061.91
PA-0021,22/03/2026,Item A21,2531.61
PA-0022,23/03/2026,Item A22,7575.21
PA-0023,24/03/2026,Item A23,410.4
PA-0024,25/03/2026,Item A24,6895.92
PA-0025,26/03/2026,Item A25,8669.58
PA-0026,27/03/2026,Item A26,7246.11
PA-0027,28/03/2026,Item A27,1036.38
PA-0028,01/03/2026,Item A28,3034.2
PA-0029,02/03/2026,Item A29,5847.02
PA-0030,03/03/2026,Item A30,504.83
PA-0031,04/03/2026,Item A31,2422.4
PA-0032,05/03/2026,Item A32,4545.63
PA-0033,06/03/2026,Item A33,6916.38
PA-0034,07/03/2026,Item A34,2443.44
PA-0035,08/03/2026,Item A35,4650.57
PA-0036,09/03/2026,Item A36,25.82
PA-0037,10/03/2026,Item A37,5196.57
PA-0038,11/03/2026,Item A38,4997.31
PA-0039,12/03/2026,Item A39,5864.18
PA-0040,13/03/2026,Item A40,6319.13
PA-0041,14/03/2026,Item A41,7683.55
PA-0042,15/03/2026,Item A42,7316.04
PA-0043,16/03/2026,Item A43,2070.94
PA-0044,17/03/2026,Item A44,7524.4
PA-0045,18/03/2026,Item A45,3852.3
PA-0046,19/03/2026,Item A46,8261.21
PA-0047,20/03/2026,Item A47,1256.26
PA-0048,21/03/2026,Item A48,7619.12
PA-0049,22/03/2026,Item A49,2610.17
PA-0050,23/03/2026,Item A50,159.39
PA-0051,24/03/2026,Item A51,4399.45
PA-0052,25/03/2026,Item A52,232.03
PA-0053,26/03/2026,Item A53,1387.85
PA-0054,27/03/2026,Item A54,8434.76
PA-0055,28/03/2026,Item A55,2169.21
PA-0056,01/03/2026,Item A56,2930.28
PA-0057,02/03/2026,Item A57,5529.42
PA-0058,03/03/2026,Item A58,6599.25
PA-0059,04/03/2026,Item A59,5263.01
PA-0060,05/03/2026,Item A60,7263.21
PA-0061,06/03/2026,Item A61,5472.11
PA-0062,07/03/2026,Item A62,5581.11
PA-0063,08/03/2026,Item A63,800.32
PA-0064,09/03/2026,Item A64,2425.81
PA-0065,10/03/2026,Item A65,719.4
PA-0066,11/03/2026,Item A66,8101.66
PA-0067,12/03/2026,Item A67,8785.45
PA-0068,13/03/2026,Item A68,2153.39
PA-0069,14/03/2026,Item A69,7328.5
PA-0070,15/03/2026,Item A70,1995.08
PA-0071,16/03/2026,Item A71,3799.41
PA-0072,17/03/2026,Item A72,647.21
PA-0073,18/03/2026,Item A73,234.51
PA-0074,19/03/2026,Item A74,1323.5
PA-0075,20/03/2026,Item A75,3202.11
PA-0076,21/03/2026,Item A76,4886.31
PA-0077,22/03/2026,Item A77,8949.13
PA-0078,23/03/2026,Item A78,3815.48
PA-0079,24/03/2026,Item A79,3418.41
PA-0080,25/03/2026,Item A80,3195.4
PA-0081,26/03/2026,Item A81,5668.1
PA-0082,27/03/2026,Item A82,3741.8
PA-0083,28/03/2026,Item A83,204.02
PA-0084,01/03/2026,Item A84,6814.78
PA-0085,02/03/2026,Item A85,3890.49
PA-0086,03/03/2026,Item A86,7467.75
PA-0087,04/03/2026,Item A87,1539.45
PA-0088,05/03/2026,Item A88,6139.95
PA-0089,06/03/2026,Item A89,4769.63
PA-0090,07/03/2026,Item A90,6876.48
PA-0091,08/03/2026,Item A91,5659.27
PA-0092,09/03/2026,Item A92,4377.43
PA-0093,10/03/2026,Item A93,3758.87
PA-0094,11/03/2026,Item A94,2110.94
PA-0095,12/03/2026,Item A95,102.78
PA-0096,13/03/2026,Item A96,2964.67
PA-0097,14/03/2026,Item A97,4863.73
PA-0098,15/03/2026,Item A98,2604.72
PA-0099,16/03/2026,Item A99,8892.67
PA-0100,17/03/2026,Item A100,7416.39
PA-0101,18/03/2026,Item A101,5362.96
PA-0102,19/03/2026,Item A102,887.67
PA-0103,20/03/2026,Item A103,8581.17
PA-0104,21/03/2026,Item A104,5265.23
PA-0105,22/03/2026,Item A105,5359.19
PA-0106,23/03/2026,Item A106,1122.45
PA-0107,24/03/2026,Item A107,864.88
PA-0108,25/03/2026,Item A108,7482.97
PA-0109,26/03/2026,Item A109,6026.71
PA-0110,27/03/2026,Item A110,4187.36
PA-0111,28/03/2026,Item A111,7024.2
PA-0112,01/03/2026,Item A112,5792.67
PA-0113,02/03/2026,Item A113,7803.61
PA-0114,03/03/2026,Item A114,3033.66
PA-0115,04/03/2026,Item A115,1153.52
PA-0116,05/03/2026,Item A116,4114.92
PA-0117,06/03/2026,Item A117,610.07
PA-0118,07/03/2026,Item A118,8140.79
PA-0119,08/03/2026,Item A119,3084.28
PA-0120,09/03/2026,Item A120,6373.46
PA-0121,10/03/2026,Item A121,4573.05
PA-0122,11/03/2026,Item A122,611.04
PA-0123,12/03/2026,Item A123,818.45
PA-0124,13/03/2026,Item A124,4847.04
PA-0125,14/03/2026,Item A125,4034.6
PA-0126,15/03/2026,Item A126,8556.05
PA-0127,16/03/2026,Item A127,267.08
PA-0128,17/03/2026,Item A128,8538.84
PA-0129,18/03/2026,Item A129,8420.87
PA-0130,19/03/2026,Item A130,5488.6
PA-0131,20/03/2026,Item A131,5591.1
