Key,Date,Description,Amount
,01/04/2026,COMMISSION 1,1.37
,02/04/2026,COMMISSION 2,1.37
,03/04/2026,COMMISSION 3,1.37
,04/04/2026,COMMISSION 4,1.37
,05/04/2026,COMMISSION 5,1.37
,06/04/2026,COMMISSION 6,1.37
,07/04/2026,COMMISSION 7,1.37
,08/04/2026,COMMISSION 8,1.37
,09/04/2026,COMMISSION 9,1.37
,10/04/2026,COMMISSION 10,1.37
,11/04/2026,COMMISSION 11,1.37
,12/04/2026,COMMISSION 12,1.37
,13/04/2026,COMMISSION 13,1.37
,14/04/2026,COMMISSION 14,1.37
,15/04/2026,COMMISSION 15,1.37
,16/04/2026,COMMISSION 16,1.37
,17/04/2026,COMMISSION 17,1.37
,18/04/2026,COMMISSION 18,1.37
,19/04/2026,COMMISSION 19,1.37
,20/04/2026,COMMISSION 20,1.37
,21/04/2026,COMMISSION 21,1.37
,22/04/2026,COMMISSION 22,1.37
,23/04/2026,COMMISSION 23,1.37
,24/04/2026,COMMISSION 24,1.37
,25/04/2026,COMMISSION 25,1.37
,26/04/2026,COMMISSION 26,1.37
,27/04/2026,COMMISSION 27,1.37
,28/04/2026,COMMISSION 28,1.37
,01/04/2026,COMMISSION 29,1.37
,02/04/2026,COMMISSION 30,1.37
,03/04/2026,COMMISSION 31,1.37
,04/04/2026,COMMISSION 32,1.37
,05/04/2026,COMMISSION 33,1.37
,06/04/2026,COMMISSION 34,1.37
,07/04/2026,COMMISSION 35,1.37
,08/04/2026,COMMISSION 36,1.37
,09/04/2026,COMMISSION 37,1.37
,10/04/2026,COMMISSION 38,1.37
,11/04/2026,COMMISSION 39,1.37
,12/04/2026,COMMISSION 40,1.37
,13/04/2026,COMMISSION 41,1.37
,14/04/2026,COMMISSION 42,1.37
,15/04/2026,COMMISSION 43,1.37
,16/04/2026,COMMISSION 44,1.37
,17/04/2026,COMMISSION 45,1.37
,18/04/2026,COMMISSION 46,1.37
,19/04/2026,COMMISSION 47,1.37
,20/04/2026,COMMISSION 48,1.37
,21/04/2026,COMMISSION 49,1.37
,22/04/2026,COMMISSION 50,1.37
,23/04/2026,COMMISSION 51,1.37
,24/04/2026,COMMISSION 52,1.37
,25/04/2026,COMMISSION 53,1.37
,26/04/2026,COMMISSION 54,1.37
,27/04/2026,COMMISSION 55,1.37
,28/04/2026,COMMISSION 56,1.37
,01/04/2026,COMMISSION 57,1.37
,02/04/2026,COMMISSION 58,1.37
,03/04/2026,COMMISSION 59,1.37
,04/04/2026,COMMISSION 60,1.37
,05/04/2026,COMMISSION 61,1.37
,06/04/2026,COMMISSION 62,1.37
,07/04/2026,COMMISSION 63,1.37
,08/04/2026,COMMISSION 64,1.37
,29/04/2026,SWIFT FEE,2.32
