code,group_el,service_el,price_raw
SHSO-ER0,ΕΡΓΑΣΤΗΡΙΑΚΕΣ ΕΞΕΤΑΣΕΙΣ,Δεν χρήζει φροντίδας στα ΤΑΕΠ (Επιπλέον χρέωση),25
SHSO-ER1,ΕΡΓΑΣΤΗΡΙΑΚΕΣ ΕΞΕΤΑΣΕΙΣ,Τεστ εγκυμοσύνης,12
SHSO-ER2,ΕΡΓΑΣΤΗΡΙΑΚΕΣ ΕΞΕΤΑΣΕΙΣ,Τοξικολογικές εξετάσεις / Κάθε ουσία / Πενταπλό / Δεκαπλό,15€  / 60€   / 70€
SHSO-ER3,ΑΠΕΙΚΟΝΙΣΤΙΚΕΣ ΕΞΕΤΑΣΕΙΣ,Ακτινογραφία,Χρέωση ανάλογα με το ανατομικό σημείο σύμφωνα με τον τιμοκατάλογο ΟΚΥΠΥ της Ακτινοδιαγνωστικής
SHSO-ER4,ΑΠΕΙΚΟΝΙΣΤΙΚΕΣ ΕΞΕΤΑΣΕΙΣ,Υπερηχογράφημα,Χρέωση ανάλογα με το ανατομικό σημείο σύμφωνα με τον τιμοκατάλογο ΟΚΥΠΥ της Ακτινοδιαγνωστικής
SHSO-ER5,ΑΠΕΙΚΟΝΙΣΤΙΚΕΣ ΕΞΕΤΑΣΕΙΣ,Αξονική Τομογραφία (αποκλείει τομογραφία ουροποιογεννητικού συστήματος με σκιαγραφικό,Χρέωση ανάλογα με το ανατομικό σημείο σύμφωνα με τον τιμοκατάλογο ΟΚΥΠΥ της Ακτινοδιαγνωστικής
SHSO-ER6,ΑΠΕΙΚΟΝΙΣΤΙΚΕΣ ΕΞΕΤΑΣΕΙΣ,Μαγνητική τομογραφία,Χρέωση ανάλογα με το ανατομικό σημείο σύμφωνα με τον τιμοκατάλογο ΟΚΥΠΥ της Ακτινοδιαγνωστικής
SHSO-ER7,ΑΠΕΙΚΟΝΙΣΤΙΚΕΣ ΕΞΕΤΑΣΕΙΣ,Τομογραφία Ουροποιογεννητικού συστήματος με σκιαγραφικό,65
SHSO-ER8,ΧΟΡΗΓΗΣΗ ΦΑΡΜΑΚΩΝ*,Άλλα παρεντερικά φάρμακα - ενδοφλέβια έγχυση,50
SHSO-ER9,ΧΟΡΗΓΗΣΗ ΦΑΡΜΑΚΩΝ*,Χορηγήθηκε φάρμακο - ενδομυϊκά,20
SHSO-ER10,ΧΟΡΗΓΗΣΗ ΦΑΡΜΑΚΩΝ*,Χορηγήθηκε φάρμακο - υποδόρια,20
SHSO-ER11,ΚΑΡΔΙΟΛΟΓΙΚΕΣ ΠΑΡΕΜΒΑΣΕΙΣ,Καρδιογράφημα,20
SHSO-ER12,ΚΑΡΔΙΟΛΟΓΙΚΕΣ ΠΑΡΕΜΒΑΣΕΙΣ,Αναζωογόνηση/  Καρδιοπνευμονική αναζωογόνηση,320
SHSO-ER13,ΚΑΡΔΙΟΛΟΓΙΚΕΣ ΠΑΡΕΜΒΑΣΕΙΣ,Εξωτερική βηματοδότηση,250€   / συν αναλώσιμο
SHSO-ER14,ΚΑΡΔΙΟΛΟΓΙΚΕΣ ΠΑΡΕΜΒΑΣΕΙΣ,Απινίδωση,340
SHSO-ER15,ΟΦΘΑΛΜΟΛΟΓΙΚΕΣ ΠΑΡΕΜΒΑΣΕΙΣ,Αλλαγή μικρού τραύματος / έγκαυμα/οφθαλμός,120
SHSO-ER16,ΟΦΘΑΛΜΟΛΟΓΙΚΕΣ ΠΑΡΕΜΒΑΣΕΙΣ,"Θεραπευτικό πλύσιμο οργάνου (πλύση), πλύση οφθαλμού / 3 ώρες  / Παρουσία οφθαλμιάτρου",50 € / 120 €  / 200 € / συν αναλώσιμα
SHSO-ER18,ΟΦΘΑΛΜΟΛΟΓΙΚΕΣ ΠΑΡΕΜΒΑΣΕΙΣ,Οφθαλμός- ένεση κάτω από τον επιπεφυκότα,20
SHSO-ER19,ΟΡΘΟΠΕΔΙΚΕΣ ΠΑΡΕΜΒΑΣΕΙΣ,Αφαίρεση γύψου,25
SHSO-ER20,ΟΡΘΟΠΕΔΙΚΕΣ ΠΑΡΕΜΒΑΣΕΙΣ,Επίδεση/υποστήριξη,10
SHSO-ER21,ΟΡΘΟΠΕΔΙΚΕΣ ΠΑΡΕΜΒΑΣΕΙΣ,Εφαρμογή γύψου Paris,46
