cpt_code,group_en,description_en,description_el,price_eur
CY251,,"Fine needle aspiration, with imaging guidance; each additional lesion (List separately in addition to code for primary procedure)","Αναρρόφηση με λεπτή βελόνα, με καθοδήγηση απεικόνισης. κάθε πρόσθετη βλάβη ",29.5
10005-LT,ULTRASOUND,"Fıne needle aspıratıon bıopsy, including ultrasound guidance ; first lesion","Βιοψία με λεπτή βελόνα, συμπεριλαμβανομένης της καθοδήγησης με υπερήχους. πρώτη βλάβη (Αριστερά)",74
10006,ULTRASOUND,"Fine needle aspiration biopsy, including ultrasound guidance; each additional lesion ","Βιοψία αναρρόφησης με λεπτή βελόνα, συμπεριλαμβανομένης της καθοδήγησης με υπερήχους, κάθε πρόσθετη βλάβη ",29.5
60300,ULTRASOUND,"Aspiration and/or injection, thyroid cyst","Αναρρόφηση ή/και έγχυση, θυρεοειδική κύστη",122
CY156,Activities,Facilities and Consumables for Anesthesia,Εγκαταστάσεις και αναλώσιμα για την αναισθησία,85
10022,Activities,Fine needle aspiration; with imaging guidance,"Αναρρόφηση διά λεπτής βελόνης, με απεικονιστική καθοδήγηση",86.5
49405,Activities,"Ιmage-guided fluid collection drainage by catheter (eg, abscess, hematoma, seroma, lymphocele, cyst); visceral (eg, kidney, liver, spleen, lung/mediastinum), percutaneous","Παροχέτευση συλλογής υγρών καθοδηγούμενη από εικόνα με καθετήρα (π.χ. απόστημα, αιμάτωμα, ορός, λεμφοκήλη, κύστη)· σπλαχνικό (π.χ. νεφρός, ήπαρ, σπλήνα, πνεύμονας/μεσοθωράκιο), διαδερμικό»",98.5
49406,Activities,"Image-guided fluid collection drainage by catheter (eg, abscess, hematoma, seroma,lymphocele, cyst); peritoneal or retroperitoneal, percutaneous","Αποστράγγιση συλλογής υγρού με καθοδήγηση με εικόνα με καθετήρα (π.χ. απόστημα, αιμάτωμα, ορός, λεμφοκήλη, κύστη), περιτοναϊκή ή οπισθοπεριτοναϊκή, διαδερμική",98.5
55700,Activities,"Biopsy, prostate; needle or punch, single or multiple, any approach","Βιοψία προστάτη, με βελόνα ή τεχνική punch, μία ή πολλαπλές, οποιαδήποτε προσέγγιση",118.5
CY157,Activities,"Biopsy, soft tissue",Βιοψία μαλακών μορίων,74
64483,Activities,"Injection(s), anesthetic agent and/or steroid, transforaminal epidural, with imaging guidance (fluoroscopy or CT); lumbar or sacral, single level","Έγχυση(εις) αναισθητικού παράγονται ή/και στεροειδούς, διατρηματική επισκληρίδιος, με απεικονιστική καθοδήγηση (ακτινοσκόπηση ή υπολογιστική τομογραφία), οσφυϊκή ή ιερά, ένα επίπεδο",61.5
64484,Activities,"Injection(s), anesthetic agent and/or steroid, transforaminal epidural, with imaging guidance (fluoroscopy or CT); lumbar or sacral, each additional level (List separately in addition to code for primary procedure)","Έγχυση(εις) αναισθητικού παράγονται ή/και στεροειδούς, διατρηματική επισκληρίδιος, με απεικονιστική καθοδήγηση (ακτινοσκόπηση ή υπολογιστική τομογραφία), οσφυϊκή ή ιερά, κάθε επιπλέον επίπεδο ",29.5
64490,Activities,"Injection(s), diagnostic or therapeutic agent, paravertebral facet (zygapophyseal) joint (or nerves innervating that joint) with image guidance (fluoroscopy or CT), cervical or thoracic; single level","Ένεση(εις), διαγνωστικού ή θεραπευτικού παράγοντα, ζυγοαποφυσιακή άρθρωση ή νεύρα που νευρώνουν την άρθρωση, με απεικονιστική καθοδήγηση (ακτινοσκόπηση ή υπολογιστική τομογραφία), αυχενική ή θωρακική, ένα επίπεδο",61.5
76506,Activities,"Echoencephalography, real time with image documentation (gray scale) (for determination of ventricular size, delineation of cerebral contents, and detection of fluid masses or other intracranial abnormalities), including A-mode encephalography as secondary component where indicated","Ηχοεγκεφαλογραφία, σε πραγματικό χρόνο με τεκμηρίωση εικόνας (γκρι κλίμακα) (για τον προσδιορισμό του μεγέθους της κοιλίας, καθορισμός του εγκεφαλικού περιεχομένου και εντοπισμός υγρών μαζών ή άλλων ενδοκρανιακών ανωμαλιών), συμπεριλαμαβνομένης της Α mode  όπως δευτερεύον συστατικό, όπου υποδεικνύεται",38.5
77003-RAD,Activities,Fluoroscopic guidance and localization of needle or catheter tip for spine or paraspinous diagnostic or therapeutic injection procedures (epidural or subarachnoid),Ακτινοσκοπική καθοδήγηση και εντόπιση κορυφής βελόνης ή καθετήρα για σπονδυλική ή παρασπονδύλια διαδικασία διαγνωστικής ή θεραπευτικής έγχυσης (επισκληρίδια ή υπαραχνοειδής,57.5
23350,Activities,Injection procedure for shoulder arthrography or enhanced CT/MRI shoulder arthrography,Διαδικασία ένεσης για αρθρογραφία ώμου ή ενισχυμένη CT/MRI αρθρογραφία ώμου,178.5
25246,Activities,Injection procedure for wrist arthrography,Διαδικασία ένεσης για αρθρογραφία καρπού,178.5
27093,Activities,"Injection procedure for hip arthrography; without anesthesia""",Διαδικασία ένεσης για αρθρογραφία ισχίου. χωρίς αναισθησία,178.5
27369,Activities,Injection procedure for contrast knee arthrography or contrast enhanced CT/MRI knee arthrography,Διαδικασία έγχυσης για αρθρογραφία γόνατος με αντίθεση ή αρθρογραφία γόνατος CT/MRI ενισχυμένη με σκιαγραφικό,178.5
24220,Activities,Injection procedure for elbow arthrography,Διαδικασία ένεσης για αρθρογραφία αγκώνα,178.5
27648,Activities,Injection procedure for ankle arthrography,Διαδικασία ένεσης για αρθρογραφία ποδοκνημικής,178.5
36901,Activities,"Introduction of needle(s) and/or catheter(s), dialysis circuit, with diagnostic angiography of the dialysis circuit, including all direct puncture(s) and catheter placement(s), injection(s) of contrast, all necessary imaging from the arterial anastomosis and adjacent artery through entire venous outflow including the inferior or superior vena cava, fluoroscopic guidance, radiological supervision and interpretation and image documentation and report","Εισαγωγή βελόνας ή/και καθετήρας, κυκλώματος αιμοκάθαρσης, με διαγνωστική αγγειογραφία του κυκλώματος αιμοκάθαρσης, συμπεριλαμβανομένων όλων των άμεσων παρακεντήσεων και τοποθέτησης καθετήρα, ενέσεων σκιαγραφικού, όλων των απαραίτητων απεικονίσεων από  αρτηριακή αναστόμωση και γειτονική αρτηρία μέσω ολόκληρης της φλεβικής εκροής συμπεριλαμβανομένης της κάτω ή άνω κοίλης φλέβας, ακτινοσκοπική καθοδήγηση, ακτινολογική επίβλεψη και ερμηνεία και τεκμηρίωση και αναφορά εικόνας",156
91200,Activities,"Liver elastography, mechanically induced shear wave (eg, vibration), without imaging, with interpretation and report","Ελαστογραφία ήπατος, μηχανικά επαγόμενο διατμητικό κύμα (π.χ. δόνηση), χωρίς απεικόνιση, με ερμηνεία και αναφορά",64
1922,Activities,Anesthesia for non-invasive imaging or radiation therapy; requiring the presence of an anaesthesiologist,"Αναισθησία για μη επεμβατική απεικόνιση ή ακτινοθεραπεία, απαραίτητη η παρουσία αναισθησιολόγου",45.5
CY155,Consumable,"BREAST BIOPSY  KIT (Biopsy Probe/Vacuum,Rinse Tubing Cassette/Vacuum Canister/Clip Marker)","ΚΙΤ ΒΙΟΨΙΑΣ ΜΑΣΤΟΥ (Biopsy Probe/Vacuum,Rinse Tubing Cassette/Vacuum Canister/Clip)",395
70450,CT,"Computed tomography, head or brain; without contrast material","Υπολογιστική τομογραφία κεφαλής ή εγκεφάλου, χωρίς σκιαγραφικό μέσο",73
70480,CT,"Computed tomography, orbit, sella, or posterior fossa or outer, middle, or inner ear; without
contrast material","Υπολογιστική τομογραφία οφθαλμικού κόγχου, τουρκικού εφιππίου, οπίσθιου ή εξωτερικού βόθρου, μέσου ή έσω ωτός, χωρίς σκιαγραφικό μέσο",64
70490,CT,"Computed tomography, soft tissue neck; without contrast material","Υπολογιστική τομογραφία μαλακών μορίων του αυχένα, χωρίς σκιαγραφικό μέσο",64
71250,CT,"Computed tomography, thorax; without contrast material","Υπολογιστική τομογραφία θώρακα, χωρίς σκιαγραφικό μέσο",73
72125,CT,"Computed tomography, cervical spine; without contrast material","Υπολογιστική τομογραφία αυχενικής μοίρας σπονδυλικής στήλης, χωρίς σκιαγραφικό μέσο",64
72128,CT,"Computed tomography, thoracic spine; without contrast material","Υπολογιστική τομογραφία θωρακικής μοίρας σπονδυλικής στήλης, χωρίς σκιαγραφικό μέσο",64
