code,service_type,category,category_code,description_el,description_en
AED001,INVESTIGATION,1,AECAT1,Καρδιογράφημα,Electrocardiogram
AED002,INVESTIGATION,1,AECAT1,Ανάλυση ούρων,Urinalysis
AED003,INVESTIGATION,1,AECAT1,Τεστ εγκυμοσύνης,Pregnancy test
AED004,INVESTIGATION,1,AECAT1,Καμία,None
AED005,INVESTIGATION,2,AECAT2,Ακτινογραφία,X-ray plain film
AED006,INVESTIGATION,2,AECAT2,Αιματολογία,Haematology
AED007,INVESTIGATION,2,AECAT2,Διασταύρωση ομάδας αίματος και αποθήκευση ορού για μεταγενέστερη διασταύρωση,Cross match blood/group and save serum for later cross match
AED008,INVESTIGATION,2,AECAT2,Βιοχημεία,Biochemistry*
AED009,INVESTIGATION,2,AECAT2,Μικροβιολογία,Microbiology
AED010,INVESTIGATION,2,AECAT2,Ιστολογία,Histology
AED011,INVESTIGATION,2,AECAT2,Εξετάσεις πηκτικότητας (εργαστηριακές εξετάσεις ελέγχου πηκτικότητας αίματος ),Clotting studies
AED012,INVESTIGATION,2,AECAT2,Ανοσολογία,Immunology
AED013,INVESTIGATION,2,AECAT2,Καρδιακά ένζυμα,Cardiac enzymes
AED014,INVESTIGATION,2,AECAT2,Αέρια αίματος αρτηριακού/τριχοειδικού,Arterial/capillary blood gas*
AED015,INVESTIGATION,2,AECAT2,Τοξικολογία,Toxicology
AED016,INVESTIGATION,2,AECAT2,Αιμοκαλλιέργεια,Blood culture
AED017,INVESTIGATION,2,AECAT2,Ορολογία,Serology
AED019,INVESTIGATION,3,AECAT3,Υπερηχογράφημα,Ultrasound
AED020,INVESTIGATION,3,AECAT3,Μαγνητική τομογραφία,Magnetic Resonance Imaging
AED021,INVESTIGATION,3,AECAT3,Αξονική Τομογραφία (αποκλείει τομογραφία ουροποιογεννητικού συστήματος με σκιαγραφικό,Computerised Tomography (excludes Genito urinary contrast examination/tomography)
AED022,INVESTIGATION,3,AECAT3,Τομογραφία Ουροποιογεννητικού συστήματος με σκιαγραφικό,Genito urinary contrast examination/tomography
AED023,INVESTIGATION,1,AECAT1,Επιβεβαίωση θανάτου με ηλεκτροκαρδιογράφημα,Verification of Death
AED024,INVESTIGATION,1,AECAT1,Mέτρηση σακχάρου με μηχανάκι/  Μέτρηση σακχάρου αίματος με φορητή συσκευή (γλουκόμετρο) με ταχυδιαγνωστικές αντιδραστήριες ταινίες,Rapid Gluco Test-DX
AED025,INVESTIGATION,1,AECAT1,Mέτρηση ναρκωτικών ουσιών με ταχυδιαγνωστικές αντιδραστήριες ταινίες,Narco Test
AED026,INVESTIGATION,1,AECAT1,Mέτρηση ούρων με test με Stick ταχυδιαγνωστικές αντιδραστήριες ταινίες,Urine test
AED027,INVESTIGATION,1,AECAT1,Ανίχνευση τροπονίνης στο αίμα με ταχυδιαγνωστικές αντιδραστήριες ταινίες,Troponine Test
AED028,INVESTIGATION,3,AECAT3,Λαρυγγοσκόπηση-Ενδοσκόπηση,Laryngoscopy/Endoscopy
AET001,TREATMENT,1,AECAT1,Επίδεση/υποστήριξη,Bandage/support
AET002,TREATMENT,1,AECAT1,Αφαίρεση γύψου,Removal plaster of Paris
AET003,TREATMENT,1,AECAT1,Φλεβοκαθετήρας,Intravenous cannula
AET004,TREATMENT,1,AECAT1,"Παρακολούθηση/ηλεκτροκαρδιογράφημα,οξύμετρο /τραύμα κεφαλής/","Observation/electrocardiogram, pulse oximetry/head injury/trends"
AET005,TREATMENT,1,AECAT1,Καθοδήγηση/συμβουλή μόνο - γραπτή,Guidance/advice only-written
AET006,TREATMENT,1,AECAT1,Καθοδήγηση/συμβουλή μόνο - προφορική,Guidance/advice only-verbal
AET007,TREATMENT,1,AECAT1,Τέτανος - ανοσία,Tetanus-immune
AET008,TREATMENT,1,AECAT1,Καταγραφή ζωτικών σημείων,Recording vital signs
AET009,TREATMENT,1,AECAT1,Αξιολόγηση εγκαυμάτων,Burns review
AET010,TREATMENT,1,AECAT1,Ανάκληση/ Αξιολόγηση ακτινογραφίας,Recall/x-ray review
AET011,TREATMENT,1,AECAT1,Αξιολόγηση κατάγματος,Fracture review
AET012,TREATMENT,1,AECAT1,Καθαρισμός πληγής,Wound cleaning
AET013,TREATMENT,1,AECAT1,Αλλαγή/αξιολόγηση πληγής,Dressing/wound review
AET014,TREATMENT,1,AECAT1,"ιμάντας/ κολλάρο ανάρτησης χειρός, ευρύς επίδεσμος ανάρτησης ώμου",Sing/collar cuff/broad arm sling
AET015,TREATMENT,1,AECAT1,Μείωση της θερμοκρασίας- έλεγχος θερμοκρασίας σώματος,Cooling - control body temperature
AET016,TREATMENT,1,AECAT1,Χορηγήθηκε φάρμακο- Οφθαλμικές σταγόνες,Medication administered - eye drops
AET017,TREATMENT,1,AECAT1,Χορηγήθηκε φάρμακο - Ωτικές σταγόνες,Medication administered - ear drops
AET018,TREATMENT,1,AECAT1,Χορηγήθηκε φάρμακο- τοπική κρέμα δέρματος,Medication administered - topical skin cream
AET019,TREATMENT,1,AECAT1,Εργασιοθεραπεία/Παροχή συσκευών για καθημερινές δραστηριότητες ΕΘ,Occupational Therapy - OT activities of daily living equipment provision
AET020,TREATMENT,1,AECAT1,Συνταγογραφία/ετοιμασία φαρμάκων για το σπίτι,Prescription/medicines prepared to take away
AET021,TREATMENT,1,AECAT1,Καμία ( σκέψου καθοδήγηση/συμβουλή),None (consider guidance/advice option)
AET022,TREATMENT,2,AECAT2,Αλλαγή μικρού τραύματος / έγκαυμα/οφθαλμός,Dressing minor/burn/eye
AET023,TREATMENT,2,AECAT2,Συρραφή- Αποστειρωμένες λωρίδες/ταινίες,Wound closure - steristrips
AET024,TREATMENT,2,AECAT2,Συρραφή- Κόλλα για τραύματα,Wound closure - wound glue
AET025,TREATMENT,2,AECAT2,Συρραφή- Άλλη μέθοδος (π.χ clips),Wound closure - other (e.g. clips)
AET026,TREATMENT,2,AECAT2,Εφαρμογή γύψου Paris,Applicatiion Plaster of Paris
AET027,TREATMENT,2,AECAT2,Νάρθηκας,Splint
AET028,TREATMENT,2,AECAT2,"Φυσιοθεραπεία - επίδεση, θεραπεία με υπέρηχο, διαθερμία με μικροκύμματα, ορθοθέτηση","Physiotherapy - strapping, ultra sound treatment, short wave diathermy, manipulation"
AET029,TREATMENT,2,AECAT2,"Φυσιοθεραπεία - επανεκπαίδευση βαδίσματος, πρόληψη πτώσεων","Physiotherapy - gait re-education, falls prevention"
AET030,TREATMENT,2,AECAT2,"Θεραπευτικό πλύσιμο οργάνου (πλύση), εμετός, ενεργός άνθρακας, πλύση οφθαλμού",Lavage/emesis/charcoal/eye irrigation
AET031,TREATMENT,2,AECAT2,Αναισθησία - τοπικό αναισθητικό,Anaesthesia - local anaesthetic
