code_new,name_el,code_old_ei,code_old_taep,valid_for_ae,registration_fee_eur,fee_status,note_el
600,ΕΠΙ ΠΛΗΡΩΜΗ,4,4,TRUE,100.00,SET,
601,ΥΠΟΔΙΚΟΙ/ΦΥΛΑΚΙΣΜΕΝΟΙ,62,62,TRUE,,UNCONFIRMED,
602,ΕΥΡΩΚΑΡΤΑ,114,114,TRUE,,UNCONFIRMED,
603,ΔΙΚΑΙΟΥΧΟΣ Α,1,119,TRUE,10.00,SET,"Δωρεάν ιατροφαρμακευτική περίθαλψη, πληρώνει όλα τα τέλη εγγραφης"
604,ΔΙΚΑΙΟΥΧΟΣ Α - ΜΟΝΟ ΤΑΕΠ,60,,TRUE,,EXEMPT,"Δωρεάν ιατροφαρμακευτική περίθαλψη, εξαιρείται από τα τέλη εγγραφή μόνο για τα ΤΑΕΠ"
605,ΔΙΚΑΙΟΥΧΟΣ Α - ΜΟΝΟ ΑΝΑΛΥ,64,,TRUE,10.00,SET,"Δωρεάν ιατροφαρμακευτική περίθαλψη, εξαιρειται από τα τέλη εγγραφής για αναλύσεις"
606,ΔΙΚΑΙΟΥΧΟΣ Α - ΜΟΝΟ ΤΑΕΠ & ΑΝΑΛΥ,60,,TRUE,,EXEMPT,"Δωρεάν ιατροφαρμακευτική περίθαλψη, εξαιρειται από τα τέλη εγγραφής για τα ΤΑΕΠ και αναλύσεις"
607,ΔΙΚΑΙΟΥΧΟΣ Α - ΜΟΝΟ ΤΑΕΠ & ΦΑΡΜ,60,,TRUE,,EXEMPT,"Δωρεάν ιατροφαρμακευτική περίθαλψη, εξαιρειται από τα τέλη εγγραφής για τα ΤΑΕΠ και φαρμάκων"
608,ΔΙΚΑΙΟΥΧΟΣ Α - ΜΟΝΟ ΦΑΡΜ & ΑΝΑΛΥ,60,,TRUE,10.00,SET,"Δωρεάν ιατροφαρμακευτική περίθαλψη, εξαιρειται από τα τέλη εγγραφής για αναλύσεις και φαρμάκων"
609,ΔΙΚΑΙΟΥΧΟΣ Α-ΟΛΑ ΔΩΡΕΑΝ,109,109,TRUE,,EXEMPT,"Δωρεάν ιατροφαρμακευτική περίθαλψη, εξαιρειται από όλα τα τέλη εγγραφής"
610,ΚΙ ΤΝ - 6.7 ΗΠΑΤΙΤΙΔΑ Β&Γ ,96,,FALSE,,UNCONFIRMED,
611,ΚΙ ΤΝ - 6.9 ΨΥΧΟΤΡΟΠΑ ΦΑΡΜΑΚΑ,98,,FALSE,,UNCONFIRMED,
612,ΚΙ ΤΝ - 6.12 ΠΑΙΔΟΨΥΧ ΦΑΡΜΑΚΑ,148,,FALSE,,UNCONFIRMED,
620,ΕΓΚΥΟΙ (&ΠΑΡΑΝΟΜΟΙ),109,109,TRUE,,UNCONFIRMED,
621,ΑΝΗΛΙΚΟΙ (&ΠΑΡΑΝΟΜΟΙ),109,109,TRUE,,UNCONFIRMED,
622,ΚΑΛΥΠΤΙΚΗ ΒΕΒΑΙΩΣΗ ΥΥ,155,155,TRUE,,UNCONFIRMED,
623,ΕΛΔΥΚ(& ΕΞΑΡΤΩΜΕΝΑ),122,122,TRUE,,UNCONFIRMED,
624,ΑΙΤΗΤΕΣ ΑΣΥΛΟΥ/ΔΟΜΕΣ,119,109,TRUE,,UNCONFIRMED,
625,ΟΥΚΡΑΝΟΙ ΠΡΟΣΦΥΓΕΣ,162,162,TRUE,,UNCONFIRMED,
626,ΔΗΜΟΣΙΑ ΥΓΕΙΑ - ΦΥΜΑΤΙΩΣΗ,101,,TRUE,,UNCONFIRMED,
627,ΔΗΜΟΣΙΑ ΥΓΕΙΑ - HIV,73,,TRUE,,UNCONFIRMED,
628,ΚεΠΥ - ΠΟΥΡΝΑΡΑ,119,,TRUE,,UNCONFIRMED,
629,ΣΧΕΔΙΟ ΕΣΤΙΑ,166,166,TRUE,,UNCONFIRMED,
630,EOA & ΑΝΑΘΕΩΡΙΤΚΟ ΣΥΜΒΟΥΛΙΟ,,,FALSE,,UNCONFIRMED,
631,ΔΙΑΤΡΟΦΙΚΑ ΣΚΕΥΑΣΜΑΤΑ,1,,FALSE,,UNCONFIRMED,
632,ΙΔΙΩΤΙΚΑ ΙΔΡΥΜΑΤΑ,501,,FALSE,,UNCONFIRMED,
633,ΟΔΟΝΤ ΥΠ - ΧΩΡΙΣ ΤΝ,,,FALSE,,UNCONFIRMED,
634,ΟΔΟΝΤ ΥΠ - ΤΝ,,,FALSE,,UNCONFIRMED,
635,ΟΔΟΝΤ ΥΠ - ΤΝ ΟΛΑ ΔΩΡΕΑΝ,109,,FALSE,,UNCONFIRMED,
636,ΙΑΤΡΙΚΕΣ ΥΠΗΡΕΣΙΕΣ Υ.Υ.,4,,FALSE,,UNCONFIRMED,
637,ΙΑΤΡΙΚΕΣ ΥΠΗΡΕΣΙΕΣ Υ.Υ. - ΚΑΡΤΑ ΝΟΣΗΛΕΙΑΣ Υ.Υ.,1,,FALSE,,UNCONFIRMED,
640,ΒΡΕΤΑΝΙΚΕΣ ΒΑΣΕΙΣ,,,TRUE,,UNCONFIRMED,
641,ΑΣΤΥΝΟΜΙΚΗ ΒΕΒΑΙΩΣΗ / ΔΙΑΤΑΓΜΑΤΑ,109,109,TRUE,,UNCONFIRMED,
642,ΠΑΡΑΝΟΜΑ ΔΙΑΜΕΝΟΝΤΕΣ,,,TRUE,,UNCONFIRMED,
643,ΠΤΩΜΑΤΙΚΟΣ ΔΟΤΗΣ,128,,FALSE,,UNCONFIRMED,
