code,parent_code,group_el,description_el,tier_label_el,price_type,base_amount,hourly_amount,price_raw,load_status,source
SHSO-ER0,,ΕΡΓΑΣΤΗΡΙΑΚΕΣ ΕΞΕΤΑΣΕΙΣ,Δεν χρήζει φροντίδας στα ΤΑΕΠ (Επιπλέον χρέωση),,fixed,25.00,,25,OK,
SHSO-ER1,,ΕΡΓΑΣΤΗΡΙΑΚΕΣ ΕΞΕΤΑΣΕΙΣ,Τεστ εγκυμοσύνης,,fixed,12.00,,12,OK,
SHSO-ER2-A,SHSO-ER2,ΕΡΓΑΣΤΗΡΙΑΚΕΣ ΕΞΕΤΑΣΕΙΣ,Τοξικολογικές εξετάσεις / Κάθε ουσία / Πενταπλό / Δεκαπλό — Κάθε ουσία,Κάθε ουσία,fixed,15.00,,15€  / 60€   / 70€,SPLIT,Μονάδα Ελέγχου Εσόδων 23/09/2026
SHSO-ER2-B,SHSO-ER2,ΕΡΓΑΣΤΗΡΙΑΚΕΣ ΕΞΕΤΑΣΕΙΣ,Τοξικολογικές εξετάσεις / Κάθε ουσία / Πενταπλό / Δεκαπλό — Πενταπλό,Πενταπλό,fixed,60.00,,15€  / 60€   / 70€,SPLIT,Μονάδα Ελέγχου Εσόδων 23/09/2026
SHSO-ER2-C,SHSO-ER2,ΕΡΓΑΣΤΗΡΙΑΚΕΣ ΕΞΕΤΑΣΕΙΣ,Τοξικολογικές εξετάσεις / Κάθε ουσία / Πενταπλό / Δεκαπλό — Δεκαπλό,Δεκαπλό,fixed,70.00,,15€  / 60€   / 70€,SPLIT,Μονάδα Ελέγχου Εσόδων 23/09/2026
SHSO-ER3,,ΑΠΕΙΚΟΝΙΣΤΙΚΕΣ ΕΞΕΤΑΣΕΙΣ,Ακτινογραφία,,tariff_lookup,0.00,,Χρέωση ανάλογα με το ανατομικό σημείο σύμφωνα με τον τιμοκατάλογο ΟΚΥΠΥ της Ακτινοδιαγνωστικής,OK,
SHSO-ER4,,ΑΠΕΙΚΟΝΙΣΤΙΚΕΣ ΕΞΕΤΑΣΕΙΣ,Υπερηχογράφημα,,tariff_lookup,0.00,,Χρέωση ανάλογα με το ανατομικό σημείο σύμφωνα με τον τιμοκατάλογο ΟΚΥΠΥ της Ακτινοδιαγνωστικής,OK,
SHSO-ER5,,ΑΠΕΙΚΟΝΙΣΤΙΚΕΣ ΕΞΕΤΑΣΕΙΣ,Αξονική Τομογραφία (αποκλείει τομογραφία ουροποιογεννητικού συστήματος με σκιαγραφικό,,tariff_lookup,0.00,,Χρέωση ανάλογα με το ανατομικό σημείο σύμφωνα με τον τιμοκατάλογο ΟΚΥΠΥ της Ακτινοδιαγνωστικής,OK,
SHSO-ER6,,ΑΠΕΙΚΟΝΙΣΤΙΚΕΣ ΕΞΕΤΑΣΕΙΣ,Μαγνητική τομογραφία,,tariff_lookup,0.00,,Χρέωση ανάλογα με το ανατομικό σημείο σύμφωνα με τον τιμοκατάλογο ΟΚΥΠΥ της Ακτινοδιαγνωστικής,OK,
SHSO-ER7,,ΑΠΕΙΚΟΝΙΣΤΙΚΕΣ ΕΞΕΤΑΣΕΙΣ,Τομογραφία Ουροποιογεννητικού συστήματος με σκιαγραφικό,,fixed,65.00,,65,OK,
SHSO-ER8,,ΧΟΡΗΓΗΣΗ ΦΑΡΜΑΚΩΝ*,Άλλα παρεντερικά φάρμακα - ενδοφλέβια έγχυση,,fixed,50.00,,50,OK,
SHSO-ER9,,ΧΟΡΗΓΗΣΗ ΦΑΡΜΑΚΩΝ*,Χορηγήθηκε φάρμακο - ενδομυϊκά,,fixed,20.00,,20,OK,
SHSO-ER10,,ΧΟΡΗΓΗΣΗ ΦΑΡΜΑΚΩΝ*,Χορηγήθηκε φάρμακο - υποδόρια,,fixed,20.00,,20,OK,
SHSO-ER11,,ΚΑΡΔΙΟΛΟΓΙΚΕΣ ΠΑΡΕΜΒΑΣΕΙΣ,Καρδιογράφημα,,fixed,20.00,,20,OK,
SHSO-ER12,,ΚΑΡΔΙΟΛΟΓΙΚΕΣ ΠΑΡΕΜΒΑΣΕΙΣ,Αναζωογόνηση/  Καρδιοπνευμονική αναζωογόνηση,,fixed,320.00,,320,OK,
SHSO-ER13,,ΚΑΡΔΙΟΛΟΓΙΚΕΣ ΠΑΡΕΜΒΑΣΕΙΣ,Εξωτερική βηματοδότηση,,fixed_plus_consumables,250.00,,250€   / συν αναλώσιμο,OK,
SHSO-ER14,,ΚΑΡΔΙΟΛΟΓΙΚΕΣ ΠΑΡΕΜΒΑΣΕΙΣ,Απινίδωση,,fixed,340.00,,340,OK,
