weight,description_en,investigation_category,treatment_category
4,Low cost combination of investigation and treatment,Category 1,Category 1
4,Low cost combination of investigation and treatment,Category 1,Category 2
4,Low cost combination of investigation and treatment,Category 2,Category 1
4,Low cost combination of investigation and treatment,Category 2,Category 2
8,Standard cost combination of investigation and treatment,Category 1,Category 3
8,Standard cost combination of investigation and treatment,Category 1,Category 4
8,Standard cost combination of investigation and treatment,Category 2,Category 3
12,High cost combination of investigation and treatment,Category 1,Category 5
12,High cost combination of investigation and treatment,Category 2,Category 5
12,High cost combination of investigation and treatment,Category 2,Category 4
12,High cost combination of investigation and treatment,Category 3,Category 5
12,High cost combination of investigation and treatment,Category 3,Category 1
12,High cost combination of investigation and treatment,Category 3,Category 2
12,High cost combination of investigation and treatment,Category 3,Category 3
12,High cost combination of investigation and treatment,Category 3,Category 4
1,Triage,-,-
